Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Pop_Pct,Series_Complete_5PlusPop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses_Vax_Pct,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,month,year,day_of_week,YearMonth,is_segmented_outlier,quarter,dayofyear,dayofmonth,weekofyear,season,holidays,holiday_season,vax_announcement,Additional_Doses_Vax_Pct_1_hr_lag
2023-05-10,19,TX,80813315,2667600,25478340,43584365,0,278706,299253.0,335309,374204,2164120,52510128,52202980.0,49895466,45886244,11446503,1549526,17680800,29809694,63913.0,181095,193309.0,207026,212475,306529,51357073,77.0,82.1,87.0,88.1,95.0,63.5,68.0,72.7,74.1,89.2,1354822,6255406,10775936,17547.0,1354512,6219988,9939791,16224.0,1352960,6212781,8427377,13894.0,176803,1569629,1579742,3704.0,40.7,44.2,58.9,68.4,3328193.0,4061543.0,95782.0,7763.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,48.9
2023-05-10,19,MN,18519240,511500,5378420,9468070,0,328377,350212.0,387587,427057,2012130,12829141,12676218.0,12114369,11347972,3643197,361767,4065832,6845790,8594.0,227482,239716.0,253540,261687,395835,12843618,79.1,83.0,86.7,88.6,95.0,72.4,76.4,79.9,81.5,95.0,332236,1359657,2371681,2958.0,332216,1341332,2141903,2816.0,331628,1338511,1859829,2681.0,50926,387090,480571,630.0,63.6,67.4,79.0,86.4,980515.0,1584949.0,29499.0,824.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,40.7
2023-05-10,19,UT,8421900,257900,2420360,4652010,0,262695,284701.0,324887,370230,2301870,6158852,6102281.0,5801394,5290264,1294736,188781,1949498,3523827,2927.0,192106,206287.0,223797,232562,353877,6122980,75.5,80.9,86.8,89.1,95.0,66.9,72.2,77.9,80.0,95.0,173484,690610,1277043,700.0,173436,684988,1159225,552.0,173254,684303,960676,416.0,17114,151847,185330,108.0,50.2,54.1,70.2,78.8,386331.0,677281.0,13076.0,276.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,63.6
2023-05-10,19,SC,14205395,466400,5125140,6858095,0,275902,292518.0,321391,351834,1516010,8666603,8628155.0,8409793,7976144,2874066,234030,3124391,4677048,3348.0,168326,177671.0,190268,197550,306723,8710535,71.2,75.1,79.9,82.2,95.0,60.1,63.5,67.7,69.6,91.9,211645,1102385,1773106,986.0,211594,1098745,1679732,968.0,210969,1095937,1503260,827.0,31527,369279,459733,253.0,44.9,47.3,59.8,69.1,588504.0,777335.0,23112.0,703.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,50.2
2023-05-10,19,DC,2761525,73200,795480,1425045,0,391290,418171.0,452892,478119,3161700,2137377,2107001.0,2023458,1929032,401929,44291,687280,1163291,5755.0,302852,319058.0,331848,333985,460173,2017574,95.0,95.0,95.0,95.0,95.0,91.3,95.0,95.0,95.0,95.0,45472,216619,377608,1456.0,45428,209949,345950,1157.0,45395,209643,313896,858.0,3215,49768,42738,221.0,51.4,53.5,67.4,76.7,131055.0,197170.0,2125.0,514.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,44.9
2023-05-10,19,NC,30278310,959600,9753880,15371580,0,288692,306513.0,336968,369817,1729110,19434544,19307953.0,18654494,17562898,5615802,524780,6639511,10657390,1582.0,185301,195458.0,207606,214512,320702,19370145,90.2,95.0,95.0,95.0,95.0,66.9,70.7,75.0,77.1,95.0,488447,2452403,4065621,584.0,488416,2437022,3811010,547.0,486713,2432437,3396025,519.0,54620,856768,900056,100.0,34.4,36.1,45.2,51.2,999910.0,1378586.0,35151.0,267.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,51.4
2023-05-10,19,WA,25606455,777800,7783800,12807915,0,336268,357711.0,393889,430228,2116720,17723480,17527908.0,16811064,15765601,4558849,495557,5863590,9306520,21360.0,232748,244857.0,258595,264887,376851,17932363,85.6,89.8,94.2,95.0,95.0,76.4,80.4,84.4,85.6,95.0,460551,1993726,3334903,7563.0,460489,1955524,3060487,7164.0,460100,1953966,2673097,6670.0,59583,533854,592364,2434.0,58.7,61.3,73.6,81.5,1388931.0,1983706.0,39503.0,2566.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,34.4
2023-05-10,19,SD,2713025,94000,882400,1326385,0,306675,329454.0,367568,406410,1786400,1688981,1677843.0,1613833,1514662,529490,42525,590344,900749,260.0,190919,203747.0,218647,226896,348645,1717187,84.3,89.9,95.0,95.0,95.0,66.5,71.2,76.1,78.5,95.0,40148,211458,335602,171.0,40142,210601,310592,93.0,40112,210386,273373,86.0,5098,77128,77341,31.0,47.0,49.5,60.8,68.1,117417.0,155651.0,3115.0,43.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,58.7
2023-05-10,19,PR,8842720,216600,2843120,5014090,0,276881,287455.0,310457,337384,1301060,7846764,7835276.0,7487076,6912278,2052439,151708,2838326,4517484,293.0,245696,254705.0,262862,263730,301982,7860699,91.0,94.2,95.0,95.0,95.0,84.2,87.3,88.8,88.5,89.6,138099,964860,1584495,137.0,138068,963430,1426989,98.0,137948,963050,1219708,46.0,23146,302437,283441,10.0,67.3,71.3,78.1,80.3,711652.0,1084915.0,12159.0,44.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,47.0
2023-05-10,19,RI,3531485,90600,1154400,1754745,0,333360,351447.0,380757,413104,1888030,2672092,2653380.0,2562457,2410118,734141,67226,917211,1417266,3117.0,252236,264060.0,276278,281929,392492,2874125,95.0,95.0,95.0,95.0,95.0,88.0,92.2,95.0,95.0,95.0,61676,312001,556299,822.0,61675,308624,510470,755.0,61645,308306,448421,699.0,6870,89503,104205,187.0,58.5,62.1,73.5,81.2,223482.0,316629.0,5357.0,238.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,67.3
